ID,default.payment.next.month
21754,0
252,0
22942,0
619,0
17091,0
6363,0
24681,0
28330,0
15875,0
22654,0
25722,1
21404,0
8766,1
19012,1
29153,1
8271,0
18489,0
8337,0
5404,0
12730,1
1475,1
10541,0
15474,0
17935,0
13470,0
10373,0
9071,0
1714,0
20000,0
3996,0
466,1
20534,0
19456,0
26408,0
709,0
22374,0
21359,0
21070,0
7908,0
1257,0
15706,0
4717,0
13003,0
6419,0
24293,0
21320,0
12348,0
23685,0
16491,1
8294,1
2555,0
11898,0
16165,0
1339,0
27669,1
24722,0
19127,1
25204,0
24117,0
25020,0
5366,1
10723,1
6677,0
23258,0
16615,1
10340,0
18254,0
2866,0
16976,0
21598,0
29274,0
3837,1
29037,0
19566,0
18146,0
4123,0
21093,0
684,0
16038,0
26464,1
17682,1
1292,0
19435,0
19576,0
15574,0
21109,1
16799,0
14529,0
7048,1
10371,0
25856,0
10476,0
14465,0
19023,0
26611,0
29931,0
29796,0
22202,0
26553,0
18246,0
27892,0
7349,0
25149,0
5475,1
6761,0
9411,0
8501,0
15354,0
8972,1
14172,1
1384,0
15338,0
2442,1
22033,0
22564,0
21836,1
14882,0
20554,0
21942,0
13541,0
24070,0
18660,0
8100,1
27609,0
11380,0
23187,1
16854,1
20906,0
5526,0
21170,0
17172,0
28919,0
432,1
11986,0
14855,0
27679,0
2752,0
21492,0
12452,1
6236,0
29615,1
1867,0
9028,0
7295,0
125,0
452,1
28297,0
1607,1
17076,0
14970,1
23037,0
14218,0
29198,0
14515,0
29978,0
15886,0
6754,1
15014,0
14477,0
24436,1
25237,0
6378,0
22874,0
8095,0
21619,0
12291,0
19659,0
26159,1
19201,1
24981,0
13045,1
2082,0
15261,0
23880,0
20052,0
18431,0
6420,0
171,0
26494,0
11045,1
13703,0
2091,0
15237,1
8359,0
24435,1
24657,0
7881,1
11008,0
7470,0
24163,0
8953,0
11400,0
10092,1
23595,0
6499,0
27525,0
14734,1
21577,0
17038,0
3510,1
7641,0
25387,0
12679,0
12931,1
22384,0
19780,0
17519,0
5999,0
4,0
15570,0
1633,0
18116,0
22960,0
7570,0
17037,0
24876,0
16446,0
27155,1
3394,0
18761,0
467,1
10055,0
19422,1
11910,0
29047,0
23993,0
9808,0
19001,0
4339,0
10581,0
17329,0
22585,0
3629,0
7794,0
17690,0
10207,0
22157,0
15366,1
12158,0
5677,0
11035,1
15915,1
28845,0
22924,0
24229,1
8541,0
20842,0
7093,1
27225,1
20473,1
28677,0
8915,0
845,0
24258,1
16595,1
16497,0
10031,0
17942,0
7666,0
6504,0
3398,1
25367,0
1399,0
8102,0
4218,1
28267,0
26267,0
7482,0
10323,0
13792,0
11509,0
16208,0
24564,0
8933,1
796,0
8022,1
22167,0
7923,1
19028,0
23996,0
29461,0
6747,0
25689,0
6367,1
23295,0
28044,0
24629,0
23159,0
20512,1
9015,0
24914,1
19600,0
22077,0
16418,0
10990,0
16425,0
11118,0
24109,0
26033,0
4336,0
13954,0
4551,1
9898,1
3694,0
17156,1
8194,0
27550,1
20139,0
10330,0
21325,0
11399,1
14976,1
4611,0
14665,0
21194,0
21753,0
25328,0
28729,0
8730,0
28015,0
7651,1
4202,0
4192,1
11813,0
11450,0
9292,0
29980,0
8797,1
11828,1
3785,0
9677,0
11133,0
22559,0
9572,0
25779,0
26545,0
22534,0
12018,1
22691,0
26565,0
6518,0
5360,0
2910,0
14876,0
11390,0
21832,0
3417,0
21679,0
27164,0
28922,0
21765,0
11179,0
14602,0
760,0
21201,0
7103,0
24921,0
1789,0
27546,1
26638,0
22156,0
23305,0
1351,0
14628,0
19409,1
24390,0
8623,0
25751,1
15992,0
19763,0
8317,0
26714,0
27899,0
2362,0
1403,1
25084,0
26891,0
15082,0
12724,0
17416,1
21704,0
25642,0
6425,0
71,0
5508,0
18365,0
27624,1
1880,1
8289,1
21407,1
14742,1
21156,0
26081,0
10544,0
19270,1
4559,1
18412,0
23778,1
22480,0
5504,0
2207,0
1810,0
24280,0
16758,0
28140,0
28214,0
5100,1
17055,0
29702,1
2443,0
26269,0
13988,0
5124,1
2221,1
6246,0
18348,0
223,0
12138,0
656,1
17085,0
23210,0
19683,0
9238,0
323,0
9998,0
13785,0
7785,1
5145,1
14921,1
21934,0
9376,1
8479,0
29710,1
17081,0
15145,0
6011,0
13450,0
9892,0
6456,0
5732,0
370,1
20849,0
22821,0
4122,0
23950,1
8242,1
16074,0
25657,0
22415,1
9087,0
26949,0
1132,0
2266,1
6138,1
28834,0
5307,0
374,0
4529,0
9470,0
22365,0
10647,0
25918,0
26314,1
8648,0
14305,0
20763,0
28820,0
5639,0
2076,0
14433,0
21472,0
27520,0
5964,0
27736,0
2917,0
12217,1
1419,0
13216,0
12940,0
11680,0
16840,1
26520,0
9921,0
27566,0
25051,1
18207,0
28346,0
116,1
10036,0
20500,0
24706,0
22178,1
21402,1
17555,0
22281,1
10423,0
22917,0
28935,0
7064,0
17461,1
24609,0
21275,1
22943,0
20577,0
1555,0
16385,0
29741,0
25656,0
18578,0
21203,0
23976,0
22258,1
6264,0
89,0
18388,0
21921,1
8961,0
14578,0
19238,0
16146,0
3071,0
8896,0
26833,0
15277,0
15106,0
21263,1
14002,0
12089,0
16900,0
18458,0
24392,0
777,0
17826,1
17885,0
14453,1
940,0
10398,0
14823,1
12293,1
25749,0
12038,0
19250,0
4398,0
